name,dimension,opt_tour_length,c_tour_length,best_tour_length,best_sa_tour_length,c_apx_ratio,best_apx_ratio,best_sa_apx_ratio,best_tour_k,best_sa_tour_k,elapsed_time
burma14,14,3323,3559,3559,3461,1.0710201625037616,1.0710201625037616,1.0415287390911827,1,1,3.814784288406372
ulysses16,16,6859,6982,6982,6870,1.0179326432424551,1.0179326432424551,1.001603732322496,1,1,3.7022783756256104
gr17,17,2085,2211,2211,2159,1.0604316546762589,1.0604316546762589,1.0354916067146283,1,1,4.409656763076782
gr21,21,2707,2879,2879,2707,1.0635389730328777,1.0635389730328777,1.0,1,1,4.1187334060668945
ulysses22,22,7013,7382,7382,7326,1.0526165692285756,1.0526165692285756,1.044631398830743,1,1,5.466968774795532
gr24,24,1272,1482,1482,1336,1.1650943396226414,1.1650943396226414,1.050314465408805,1,1,4.095276355743408
fri26,26,937,988,988,966,1.0544290288153682,1.0544290288153682,1.030949839914621,1,1,4.181910276412964
bayg29,29,1610,1749,1749,1749,1.0863354037267081,1.0863354037267081,1.0863354037267081,1,1,4.716550350189209
bays29,29,2020,2188,2188,2033,1.0831683168316832,1.0831683168316832,1.0064356435643564,1,1,6.582876205444336
swiss42,42,1273,1399,1399,1385,1.09897879025923,1.09897879025923,1.0879811468970935,1,1,7.3508620262146
dantzig42,42,699,792,792,746,1.1330472103004292,1.1330472103004292,1.067238912732475,1,1,8.652105808258057
gr48,48,5046,5684,5684,5217,1.1264367816091954,1.1264367816091954,1.0338882282996433,1,1,7.912829160690308
hk48,48,11461,13059,13059,11611,1.1394293691649944,1.1394293691649944,1.0130878631882034,1,1,8.368525981903076
eil51,51,426,473,473,447,1.1103286384976525,1.1103286384976525,1.0492957746478873,1,1,9.232140064239502
berlin52,52,7542,8582,8582,8085,1.1378944577035268,1.1378944577035268,1.0719968178202068,1,1,9.387757062911987
brazil58,58,25395,27495,27495,26043,1.082693443591258,1.082693443591258,1.0255168340224454,1,1,9.452384948730469
st70,70,675,768,768,732,1.1377777777777778,1.1377777777777778,1.0844444444444445,1,1,11.90429401397705
eil76,76,538,603,603,576,1.120817843866171,1.120817843866171,1.070631970260223,1,1,9.741544961929321
pr76,76,108159,117191,117191,117191,1.0835066892260468,1.0835066892260468,1.0835066892260468,1,1,15.532646656036377
gr96,96,55209,61602,61602,61602,1.1157963375536597,1.1157963375536597,1.1157963375536597,1,1,19.37683653831482
rat99,99,1211,1328,1328,1328,1.0966143682906688,1.0966143682906688,1.0966143682906688,1,1,13.727203130722046
kroC100,100,20749,23068,23068,22303,1.1117644223818015,1.1117644223818015,1.0748951756711167,1,1,16.040090560913086
kroD100,100,21294,23780,23780,23780,1.116746501361886,1.116746501361886,1.116746501361886,1,1,17.88319706916809
kroE100,100,22068,23995,23995,23995,1.087321007794091,1.087321007794091,1.087321007794091,1,1,14.193211317062378
rd100,100,7910,8786,8786,8786,1.1107458912768646,1.1107458912768646,1.1107458912768646,1,1,15.904171705245972
kroB100,100,22141,24463,24463,23966,1.1048733119551963,1.1048733119551963,1.082426268009575,1,1,14.391793489456177
kroA100,100,21282,23904,23904,23904,1.1232027065125458,1.1232027065125458,1.1232027065125458,1,1,15.577562093734741
eil101,101,629,706,706,680,1.12241653418124,1.12241653418124,1.0810810810810811,1,1,15.785876274108887
lin105,105,14379,16612,16612,15475,1.1552959176576953,1.1552959176576953,1.0762222685861325,1,1,14.814664602279663
