name,dimension,c_apx_ratio,best_sa_apx_ratio
burma14,14,1.0710201625037616,1.0415287390911827
gr24,24,1.1650943396226414,1.050314465408805
fri26,26,1.0544290288153682,1.030949839914621
bays29,29,1.0831683168316832,1.0064356435643564
dantzig42,42,1.1330472103004292,1.067238912732475
hk48,48,1.1394293691649944,1.0130878631882034
lin105,105,1.1552959176576951,1.0762222685861325
pr107,107,1.0813263210166355,1.0449179513802678
pr124,124,1.0992715568355074,1.0986108758258513
dsj1000,1000,1.112649293779891,1.0997063909538318
