temp,best_sa_tour_length
500,8325
501,8049
502,8362
503,8582
504,8314
505,8582
506,8409
507,8280
508,8582
509,8027
510,8296
511,8306
512,8309
513,8460
514,8336
515,8527
516,8372
517,8371
518,8515
519,8526
520,8266
521,8017
522,8580
523,8582
524,8582
525,8416
526,8422
527,8201
528,8582
529,8191
530,8488
531,8506
532,8133
533,8502
534,8476
535,8582
536,8508
537,8351
538,8582
539,8185
540,8336
541,8223
542,8472
543,8192
544,8424
545,8491
546,8582
547,8500
548,8266
549,8582
550,8476
551,8494
552,8582
553,8536
554,8582
555,8582
556,8439
557,8283
558,8311
559,8582
560,8582
561,8052
562,8582
563,8501
564,8344
565,8251
566,8417
567,8520
568,8429
569,8476
570,8582
571,8582
572,8582
573,8582
574,8403
575,7761
576,8545
577,8544
578,8582
579,8346
580,8531
581,8582
582,8582
583,8582
584,8241
585,8239
586,8483
587,8329
588,8244
589,8560
590,8553
591,8363
592,8279
593,8157
594,8582
595,8374
596,8519
597,8330
598,8349
599,8582
600,8375
601,8441
602,8496
603,8582
604,8284
605,8582
606,8582
607,8582
608,8281
609,8302
610,8582
611,7726
612,8267
613,8232
614,8412
615,8500
616,8208
617,8252
618,8582
619,8132
620,8520
621,8581
622,8582
623,8582
624,8328
625,8582
626,8281
627,8582
628,8301
629,8582
630,8582
631,8582
632,8582
633,8176
634,8260
635,8582
636,8582
637,8582
638,8198
639,8582
640,8376
641,8224
642,8582
643,8332
644,8394
645,8582
646,8514
647,8582
648,8562
649,8542
650,8579
651,8582
652,8217
653,8523
654,8582
655,8575
656,8340
657,8004
658,8498
659,8582
660,8228
661,8281
662,8524
663,8582
664,8582
665,8374
666,8582
667,8582
668,8468
669,8404
670,8582
671,7962
672,8420
673,8405
674,8562
675,7878
676,8582
677,8559
678,8582
679,8582
680,8309
681,8411
682,8582
683,8159
684,8486
685,8265
686,8582
687,8582
688,8582
689,8537
690,8582
691,8340
692,8582
693,8582
694,8582
695,8582
696,8286
697,8582
698,8582
699,8451
700,8582
701,8516
702,8384
703,8420
704,8582
705,8582
706,8582
707,8582
708,8441
709,8392
710,8545
711,8220
712,8431
713,8295
714,8401
715,8582
716,8185
717,8582
718,8142
719,8582
720,8146
721,8003
722,8582
723,8378
724,8219
725,7996
726,8582
727,8576
728,8343
729,7907
730,8386
731,8582
732,8567
733,8582
734,8176
735,8582
736,8402
737,8112
738,8236
739,8316
740,8582
741,8582
742,8464
743,8022
744,8173
745,8511
746,8260
747,8563
748,8582
749,8579
750,8582
751,8263
752,8582
753,8193
754,8582
755,8582
756,8355
757,8573
758,8151
759,8582
760,8255
761,8582
762,8506
763,8570
764,8133
765,8414
766,8582
767,8234
768,8548
769,8416
770,8206
771,8582
772,8582
773,8293
774,8409
775,8582
776,8582
777,8467
778,8415
779,8541
780,8582
781,8498
782,8582
783,8582
784,8459
785,8582
786,8582
787,8582
788,8551
789,8291
790,8293
791,8582
792,8582
793,8582
794,8582
795,8582
796,8257
797,8095
798,8582
799,8582
800,8252
801,8582
802,8582
803,8582
804,8582
805,8406
806,8582
807,8274
808,7854
809,8582
810,8444
811,8457
812,8158
813,8582
814,8065
815,8582
816,8582
817,8513
818,8582
819,8582
820,8582
821,8582
822,8582
823,8582
824,8582
825,8582
826,8582
827,8582
828,8582
829,8176
830,8582
831,8479
832,8582
833,8582
834,8582
835,8532
836,8167
837,8582
838,8582
839,8582
840,8503
841,8582
842,8582
843,8582
844,8412
845,8582
846,8557
847,8582
848,8582
849,8582
850,8582
851,8582
852,8551
853,8333
854,8582
855,8035
856,8582
857,8560
858,8582
859,8393
860,8319
861,8282
862,8479
863,8582
864,8582
865,8260
866,8582
867,8538
868,8582
869,8373
870,8444
871,8021
872,8114
873,8582
874,8253
875,8582
876,8516
877,8210
878,8221
879,8582
880,8582
881,8582
882,8582
883,8582
884,8582
885,8582
886,8582
887,8582
888,8493
889,8582
890,8321
891,8504
892,8582
893,8582
894,8582
895,8442
896,8582
897,8582
898,8242
899,8197
900,8412
901,8582
902,8582
903,8582
904,8582
905,8582
906,8582
907,8373
908,8041
909,8582
910,8582
911,8582
912,8582
913,8582
914,8496
915,8421
916,8582
917,8582
918,8582
919,8552
920,8449
921,8229
922,8377
923,8470
924,8058
925,8468
926,8582
927,8582
928,8582
929,8477
930,8390
931,8582
932,8118
933,8582
934,8551
935,8582
936,8369
937,8113
938,8334
939,8443
940,8582
941,8582
942,8492
943,8524
944,8120
945,8582
946,8582
947,8211
948,8195
949,8541
950,8405
951,8582
952,8141
953,8416
954,8552
955,8582
956,7782
957,8500
958,8566
959,8364
960,8570
961,8582
962,8284
963,8582
964,8582
965,8582
966,8582
967,8582
968,8582
969,8511
970,8582
971,8271
972,8394
973,8582
974,8582
975,8582
976,8582
977,8579
978,8500
979,8582
980,8370
981,8582
982,8163
983,8582
984,8582
985,8573
986,8582
987,8243
988,8582
989,8582
990,8582
991,8501
992,8471
993,8378
994,8582
995,8577
996,8582
997,8582
998,8521
999,8256
1000,8582
1001,8229
1002,8582
1003,8427
1004,8008
1005,8582
1006,8194
1007,8582
1008,8391
1009,8582
1010,8407
1011,8582
1012,8582
1013,8582
1014,8341
1015,8271
1016,8291
1017,8582
1018,8582
1019,8582
1020,8582
1021,8468
1022,8582
1023,8582
1024,8582
1025,8432
1026,8578
1027,8316
1028,8582
1029,8582
1030,8582
1031,8582
1032,8582
1033,8582
1034,8582
1035,8331
1036,8582
1037,8342
1038,8416
1039,8293
1040,8312
1041,8537
1042,8582
1043,8336
1044,8582
1045,8315
1046,8430
1047,8422
1048,8582
1049,8582
1050,8582
1051,8274
1052,8582
1053,8259
1054,8582
1055,8582
1056,8582
1057,8487
1058,8582
1059,8376
1060,8556
1061,8531
1062,8582
1063,8582
1064,8537
1065,8382
1066,8582
1067,8429
1068,8582
1069,8491
1070,8522
1071,8297
1072,8059
1073,8439
1074,8582
1075,8280
1076,8469
1077,8582
1078,8582
1079,8061
1080,8512
1081,8129
1082,8576
1083,8582
1084,8236
1085,8449
1086,8566
1087,8582
1088,8302
1089,8582
1090,8259
1091,8582
1092,8582
1093,8582
1094,8575
1095,8582
1096,8412
1097,8582
1098,8582
1099,8540
1100,8582
1101,8582
1102,8422
1103,8361
1104,8582
1105,8582
1106,8582
1107,8479
1108,8405
1109,8582
1110,8396
1111,8582
1112,8582
1113,8537
1114,8582
1115,8582
1116,8582
1117,8448
1118,8582
1119,8376
1120,8582
1121,8582
1122,8582
1123,8343
1124,8320
1125,8582
1126,8582
1127,8582
1128,8345
1129,8582
1130,8337
1131,8400
1132,8582
1133,8561
1134,8545
1135,8582
1136,8582
1137,8582
1138,8582
1139,8290
1140,8582
1141,8237
1142,8175
1143,8582
1144,8410
1145,8578
1146,8582
1147,8582
1148,8582
1149,8582
1150,8582
1151,8582
1152,8453
1153,8582
1154,8310
1155,8582
1156,8582
1157,8494
1158,8478
1159,8582
1160,8400
1161,8582
1162,8472
1163,8582
1164,8450
1165,8582
1166,8533
1167,8582
1168,8582
1169,8582
1170,8089
1171,8232
1172,8442
1173,8180
1174,8568
1175,8582
1176,8582
1177,8582
1178,8547
1179,8582
1180,8582
1181,8582
1182,8582
1183,8318
1184,8582
1185,8582
1186,8550
1187,8582
1188,8582
1189,8428
1190,8582
1191,8582
1192,8582
1193,8582
1194,8582
1195,8582
1196,8582
1197,8582
1198,8482
1199,8582
1200,8353
1201,8167
1202,8582
1203,8582
1204,8387
1205,8582
1206,8582
1207,8454
1208,8582
1209,8497
1210,8582
1211,8373
1212,8582
1213,8582
1214,8266
1215,8474
1216,8582
1217,8582
1218,8554
1219,8582
1220,8582
1221,8582
1222,8582
1223,8514
1224,8288
1225,8457
1226,8399
1227,8293
1228,8474
1229,8417
1230,8559
1231,8504
1232,8582
1233,8550
1234,8464
1235,8567
1236,8470
1237,8582
1238,8582
1239,8582
1240,8582
1241,8482
1242,8582
1243,8582
1244,8303
1245,8118
1246,8582
1247,8582
1248,8382
1249,8582
1250,8582
1251,8582
1252,8582
1253,8375
1254,8582
1255,8322
1256,8582
1257,8582
1258,8582
1259,8582
1260,8582
1261,8527
1262,8136
1263,8582
1264,8582
1265,8306
1266,8461
1267,8072
1268,8281
1269,8582
1270,8582
1271,7984
1272,8316
1273,8582
1274,8511
1275,8380
1276,8582
1277,8582
1278,8582
1279,8582
1280,8582
1281,8225
1282,8582
1283,8582
1284,8582
1285,8582
1286,8574
1287,8473
1288,8582
1289,8264
1290,8168
1291,8582
1292,8582
1293,8582
1294,8582
1295,8427
1296,8582
1297,8582
1298,8351
1299,8582
1300,8334
1301,8582
1302,8582
1303,8582
1304,8582
1305,8582
1306,8331
1307,8533
1308,8582
1309,8582
1310,8176
1311,8148
1312,8582
1313,8250
1314,8087
1315,8471
1316,8582
1317,8582
1318,8582
1319,8582
1320,8582
1321,8392
1322,8582
1323,8546
1324,8315
1325,8582
1326,8400
1327,8582
1328,8537
1329,8465
1330,8517
1331,8582
1332,8460
1333,8320
1334,8185
1335,8423
1336,8582
1337,8327
1338,8082
1339,8582
1340,8582
1341,8582
1342,8343
1343,8582
1344,7921
1345,8020
1346,8582
1347,8235
1348,8582
1349,8582
1350,8582
1351,8553
1352,8582
1353,8248
1354,8438
1355,8416
1356,8582
1357,8582
1358,8294
1359,8582
1360,8582
1361,8582
1362,8563
1363,8582
1364,8582
1365,8533
1366,8292
1367,8582
1368,8582
1369,8582
1370,8441
1371,8582
1372,8093
1373,8582
1374,8582
1375,8582
1376,8166
1377,8419
1378,8582
1379,8582
1380,8582
1381,8582
1382,8582
1383,8582
1384,8582
1385,8360
1386,8582
1387,8395
1388,8582
1389,8582
1390,8203
1391,8582
1392,8582
1393,8032
1394,8582
1395,8582
1396,8582
1397,8582
1398,8582
1399,8582
1400,8402
1401,8384
1402,8345
1403,8582
1404,8582
1405,8556
1406,8582
1407,8438
1408,8582
1409,8030
1410,8582
1411,8582
1412,8582
1413,8433
1414,8553
1415,8582
1416,8478
1417,8582
1418,8478
1419,8172
1420,8540
1421,8511
1422,8393
1423,8582
1424,8582
1425,8106
1426,8335
1427,8284
1428,8568
1429,8387
1430,8582
1431,8582
1432,8436
1433,8582
1434,8433
1435,8582
1436,8582
1437,8509
1438,8582
1439,8567
1440,8573
1441,8409
1442,8310
1443,8582
1444,8582
1445,8582
1446,8582
1447,8582
1448,8582
1449,8552
1450,8299
1451,8582
1452,8166
1453,8582
1454,8570
1455,8582
1456,8582
1457,8492
1458,8582
1459,8582
1460,8437
1461,8582
1462,8549
1463,8582
1464,8582
1465,8582
1466,8536
1467,8582
1468,8372
1469,8582
1470,8582
1471,8582
1472,8521
1473,8582
1474,8532
1475,8430
1476,8582
1477,8492
1478,8395
1479,8582
1480,8582
1481,8582
1482,8582
1483,8582
1484,8522
1485,8549
1486,8566
1487,8582
1488,8462
1489,8582
1490,8582
1491,8582
1492,8582
1493,8582
1494,8582
1495,8582
1496,8400
1497,8326
1498,8537
1499,8582
1500,8582
1501,8582
1502,8582
1503,8582
1504,8582
1505,8582
1506,8582
1507,8127
1508,8582
1509,8582
1510,8582
1511,8582
1512,8469
1513,8582
1514,8420
1515,8582
1516,8582
1517,8582
1518,8582
1519,8582
1520,8582
1521,8582
1522,8579
1523,8582
1524,8582
1525,8534
1526,8582
1527,8582
1528,8218
1529,8582
1530,8527
1531,8582
1532,8582
1533,8582
1534,8582
1535,8526
1536,8393
1537,8027
1538,8582
1539,8582
1540,8582
1541,8582
1542,8516
1543,8531
1544,8422
1545,8456
1546,8347
1547,8076
1548,8516
1549,8582
1550,8582
1551,8581
1552,8128
1553,8582
1554,8582
1555,8582
1556,8582
1557,8243
1558,8183
1559,8582
1560,8582
1561,8582
1562,8431
1563,8205
1564,8582
1565,8508
1566,8582
1567,8478
1568,8582
1569,8401
1570,8582
1571,8297
1572,8195
1573,8582
1574,8375
1575,8352
1576,8582
1577,8582
1578,8548
1579,8582
1580,8509
1581,8582
1582,8582
1583,8582
1584,8582
1585,8132
1586,8582
1587,8495
1588,8474
1589,8293
1590,8458
1591,8498
1592,8582
1593,8381
1594,8582
1595,8582
1596,8365
1597,8582
1598,7995
1599,8582
1600,8582
1601,8582
1602,8582
1603,8582
1604,8582
1605,8455
1606,8582
1607,8582
1608,8582
1609,8582
1610,8459
1611,8582
1612,8582
1613,8582
1614,8582
1615,8453
1616,8578
1617,8254
1618,8487
1619,8582
1620,8153
1621,8490
1622,8572
1623,8582
1624,8582
1625,8490
1626,8582
1627,8582
1628,8582
1629,8150
1630,8582
1631,8199
1632,8582
1633,8582
